PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO001A,22:23:35,251.69,246.25,0.3,90,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,22:23:35,237.4,360.03,51.8,310,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,22:23:41,251.69,246.25,0.3200003,89.99965,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,22:23:41,237.4,360.03,51.82,310.0002,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,22:23:46,251.69,246.25,0.3200001,89.99937,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,22:23:46,237.4,360.03,51.82,310.0008,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,22:23:50,251.69,246.25,0.32,89.99909,100,StandBy,NaN,NaN,NaN,NaN,0,0
DRO002B,22:23:50,237.4,360.03,51.82,310.0013,80,StandBy,NaN,NaN,NaN,NaN,0,0
DRO001A,22:23:55,251.69,246.25,17.69,316.43,99.42,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:23:55,237.4,360.03,69.16,27.46,79.42,TakeOff,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:00,251.69,246.25,63.75,315.52,98.85,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:00,237.4,360.03,99.85,28.14,78.96,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:05,251.69,246.25,99.69,315.51,98.4,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:05,248.26,365.86,99.79,28.14,78.41,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:10,259.15,238.92,99.81,315.51,97.87,MoveToCheckPoint,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:10,281.66,383.75,99.79,28.14,77.87,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:15,284.77,213.76,99.81,315.51,97.32,MoveToCheckPoint,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
